Car ID,Brand,Model,Year,Fuel Type,Transmission,Engine Size,Mileage,Condition,Price,Car_Age,MRI,Triangle_Score,Audit_Flag
1,Tesla,Model X,2016,Electric,Manual,2.3,114832.0,New,26613.92,10,11483.2,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
2,BMW,5 Series,2018,Electric,Manual,4.4,143190.0,Used,14679.61,8,17898.8,100,RELATIONAL: ElecLargeEngine
3,Audi,A4,2013,Electric,Manual,4.5,181601.0,New,44402.61,13,13969.3,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
4,Tesla,Model Y,2011,Electric,Automatic,4.1,68682.0,New,86374.33,15,4578.8,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
5,Ford,Mustang,2009,Diesel,Manual,2.6,223009.0,Like New,73577.1,17,13118.2,80,STAT: LikeNew+Mileage>100k
6,Audi,Q7,2019,Diesel,Automatic,2.4,246553.0,Like New,88969.76,7,35221.9,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
7,Audi,Q5,2020,Electric,Automatic,4.0,135486.0,Used,63498.75,6,22581.0,100,RELATIONAL: ElecLargeEngine
8,Tesla,Model Y,2017,Electric,Automatic,5.3,83030.0,New,17381.19,9,9225.6,33,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
9,Honda,Civic,2023,Electric,Manual,5.7,120360.0,Like New,15905.62,3,40120.0,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr | RELATIONAL: ElecLargeEngine
10,Ford,Explorer,2010,Electric,Automatic,1.5,135009.0,Like New,9560.22,16,8438.1,80,STAT: LikeNew+Mileage>100k
11,Tesla,Model 3,2001,Electric,Automatic,1.8,298875.0,Like New,58872.6,25,11955.0,80,STAT: LikeNew+Mileage>100k
12,Ford,Mustang,2017,Electric,Automatic,5.7,169737.0,Used,28074.19,9,18859.7,100,RELATIONAL: ElecLargeEngine
13,Ford,Fiesta,2006,Petrol,Automatic,4.7,114360.0,New,74766.45,20,5718.0,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
14,Audi,Q7,2023,Electric,Automatic,5.4,263894.0,Like New,70193.74,3,87964.7,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr | RELATIONAL: ElecLargeEngine
15,BMW,X3,2014,Electric,Automatic,2.0,65018.0,New,35220.52,12,5418.2,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
16,Ford,Mustang,2010,Electric,Automatic,3.9,240904.0,Used,21796.16,16,15056.5,100,RELATIONAL: ElecLargeEngine
17,Mercedes,GLA,2017,Electric,Automatic,4.5,136817.0,New,14728.03,9,15201.9,33,STAT: New+Mileage>50k | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
18,Audi,A3,2022,Hybrid,Automatic,4.4,192803.0,Like New,75044.95,4,48200.8,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr
19,Honda,Civic,2011,Electric,Automatic,3.0,86984.0,New,47791.89,15,5798.9,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
20,BMW,X5,2005,Petrol,Automatic,1.1,290595.0,New,35735.34,21,13837.9,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
21,Mercedes,C-Class,2019,Petrol,Automatic,3.9,192608.0,Used,86382.04,7,27515.4,100,CREATIVE: MRI>25kmi/yr
22,Mercedes,E-Class,2022,Electric,Manual,2.3,12150.0,Used,61393.26,4,3037.5,100,
23,Honda,CR-V,2012,Diesel,Manual,3.3,275550.0,New,54210.22,14,19682.1,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
24,BMW,X5,2019,Hybrid,Automatic,5.8,150853.0,New,75621.02,7,21550.4,39,STAT: New+Mileage>50k | CREATIVE: TriScore<50
25,Audi,Q5,2015,Electric,Automatic,3.0,188489.0,New,82480.4,11,17135.4,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
26,Toyota,Camry,2017,Electric,Automatic,5.2,18325.0,Used,70176.95,9,2036.1,100,RELATIONAL: ElecLargeEngine
27,BMW,X3,2009,Electric,Manual,1.9,199756.0,Used,46800.6,17,11750.4,100,
28,Honda,Accord,2022,Diesel,Manual,4.4,204541.0,New,41033.39,4,51135.2,48,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
29,Mercedes,GLC,2007,Diesel,Manual,5.9,17669.0,Used,78308.17,19,929.9,100,
30,Audi,A3,2017,Diesel,Automatic,1.5,207836.0,Like New,54201.18,9,23092.9,80,STAT: LikeNew+Mileage>100k
31,BMW,X5,2020,Hybrid,Automatic,1.0,132915.0,Used,71916.68,6,22152.5,100,
32,Toyota,Corolla,2000,Petrol,Automatic,3.2,196681.0,Used,89587.88,26,7564.7,100,
33,Toyota,Corolla,2022,Hybrid,Automatic,1.5,50812.0,Used,92009.61,4,12703.0,100,
34,Ford,Fiesta,2007,Diesel,Manual,4.7,278203.0,Like New,31382.99,19,14642.3,80,STAT: LikeNew+Mileage>100k
35,Ford,Mustang,2005,Petrol,Automatic,5.6,252862.0,Like New,22849.55,21,12041.0,80,STAT: LikeNew+Mileage>100k
36,Tesla,Model 3,2004,Electric,Manual,3.2,171840.0,Like New,29822.3,22,7810.9,80,STAT: LikeNew+Mileage>100k
37,Honda,Fit,2014,Diesel,Manual,2.3,25395.0,New,76380.32,12,2116.2,45,CREATIVE: TriScore<50
38,BMW,5 Series,2021,Diesel,Automatic,3.2,282346.0,New,40155.51,5,56469.2,45,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
39,BMW,X3,2014,Hybrid,Manual,4.6,229707.0,Like New,21471.98,12,19142.2,80,STAT: LikeNew+Mileage>100k
40,Tesla,Model X,2001,Electric,Manual,1.0,247181.0,New,14346.62,25,9887.2,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
41,Mercedes,E-Class,2000,Petrol,Manual,3.9,204120.0,New,36094.75,26,7850.8,30,STAT: New+Mileage>50k | CREATIVE: TriScore<50
42,Mercedes,GLA,2022,Electric,Manual,4.1,224839.0,New,17932.96,4,56209.8,48,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50 | RELATIONAL: ElecLargeEngine
43,Tesla,Model Y,2022,Electric,Automatic,4.2,219882.0,Like New,19855.49,4,54970.5,80,STAT: LikeNew+Mileage>100k | CREATIVE: MRI>25kmi/yr | RELATIONAL: ElecLargeEngine
46,BMW,5 Series,2017,Hybrid,Automatic,1.5,87945.0,Like New,16167.56,9,9771.7,80,
47,Tesla,Model S,2017,Electric,Manual,2.0,242802.0,New,85214.72,9,26978.0,33,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
48,BMW,X5,2016,Petrol,Automatic,5.4,250168.0,New,85266.84,10,25016.8,30,STAT: New+Mileage>50k | CREATIVE: MRI>25kmi/yr | CREATIVE: TriScore<50
49,Toyota,Prius,2007,Petrol,Automatic,4.7,2881.0,Used,36278.13,19,151.6,75,CREATIVE: MRI<500mi/yr
50,Ford,Explorer,2014,Electric,Automatic,1.1,111860.0,Used,13355.54,12,9321.7,100,
51,Audi,Q5,2007,Diesel,Automatic,2.2,166415.0,Used,71972.18,19,8758.7,100,
52,Ford,Mustang,2016,Hybrid,Automatic,2.1,139728.0,Used,39212.51,10,13972.8,100,
